0.12,0.31,0.0058,4.3
0.13929,0.29338,0.0018326,4.3163
0.16216,0.281,0.0021353,4.3347
0.18921,0.2729,0.0024953,4.356
0.22112,0.26918,0.0029227,4.3808
0.25865,0.27002,0.0034291,4.4096
0.30267,0.27567,0.0040282,4.443
0.35416,0.28649,0.0047356,4.4819
0.41421,0.30291,0.0055699,4.5269
0.48403,0.32545,0.0065527,4.579
0.56499,0.35474,0.0077095,4.6391
0.65863,0.39154,0.009071,4.7082
0.76666,0.43671,0.010674,4.7875
0.891,0.49126,0.012562,4.8781
1.0338,0.55636,0.01479,4.9811
1.1975,0.63332,0.017426,5.0977
1.3849,0.72369,0.020552,5.2293
1.5989,0.82919,0.024276,5.3767
1.843,0.95181,0.028733,5.5412
2.1209,1.0938,0.034103,5.7236
2.4369,1.2578,0.040623,5.9246
2.7956,1.4466,0.048615,6.1444
3.2021,1.6636,0.058529,6.383
3.6619,1.9124,0.071011,6.6397
4.1809,2.1974,0.087022,6.9127
4.7651,2.5232,0.10806,7.1993
5.4206,2.8949,0.13657,7.4942
6.1527,3.3184,0.17686,7.7891
6.9648,3.7995,0.23721,8.0692
7.8552,4.3445,0.33549,8.3069
8.8105,4.9583,0.51677,8.4447
9.7824,5.6429,0.91646,8.3399
10.614,6.3891,1.9721,7.5754
10.838,7.1532,4.7075,5.0364
9.6704,7.8114,8.1071,0.84543
7.9087,8.2245,5.7631,0.14136
7.1744,8.4487,1.2429,0.26823
7.44,8.642,0.28393,0.60135
7.7828,8.8629,0.32847,0.9
8.1482,9.1135,0.38712,1.1468
8.5304,9.3945,0.46641,1.3303
8.9192,9.7059,0.57639,1.4332
9.2977,10.046,0.7312,1.4333
9.6396,10.41,0.94507,1.31
9.9112,10.792,1.2124,1.0695
10.084,11.179,1.4734,0.77998
10.157,11.559,1.6333,0.55068
10.157,11.923,1.6612,0.42816
10.117,12.263,1.6004,0.38244
10.055,12.58,1.4991,0.37549
9.9804,12.871,1.3853,0.38678
9.8948,13.137,1.2716,0.40758
9.7986,13.378,1.163,0.43449
9.6909,13.595,1.0602,0.46646
9.5704,13.786,0.96303,0.50353
9.4356,13.952,0.87137,0.54621
9.2848,14.092,0.78522,0.59527
9.1161,14.206,0.70453,0.65154
8.9272,14.292,0.62924,0.71604
8.7157,14.349,0.55921,0.78984
8.4788,14.375,0.49429,0.87413
8.2134,14.369,0.43431,0.97015
